"x","y","year","value"
-72.845625,9.094125,2021,1
-72.845375,9.094125,2021,1
-72.845125,9.094125,2021,1
-72.844875,9.094125,2021,1
-72.844625,9.094125,2021,1
-72.844375,9.094125,2021,1
-72.843375,9.094125,2021,1
-72.843125,9.094125,2021,1
-72.842875,9.094125,2021,1
-72.866875,9.093875,2021,1
-72.866625,9.093875,2021,1
-72.866375,9.093875,2021,1
-72.866125,9.093875,2021,1
-72.865875,9.093875,2021,1
-72.865625,9.093875,2021,1
-72.865375,9.093875,2021,1
-72.843375,9.093875,2021,1
-72.843125,9.093875,2021,1
-72.842875,9.093875,2021,1
-72.866625,9.093625,2021,1
-72.866375,9.093625,2021,1
-72.866125,9.093625,2021,1
-72.865875,9.093625,2021,1
-72.865625,9.093625,2021,1
-72.865375,9.093625,2021,1
-72.865125,9.093625,2021,1
-72.853375,9.093625,2021,1
-72.853125,9.093625,2021,1
-72.852875,9.093625,2021,1
-72.844125,9.093625,2021,1
-72.825875,9.093625,2021,1
-72.825625,9.093625,2021,1
-72.825375,9.093625,2021,1
-72.825125,9.093625,2021,1
-72.824875,9.093625,2021,1
-72.866625,9.093375,2021,1
-72.866375,9.093375,2021,1
-72.866125,9.093375,2021,1
-72.865875,9.093375,2021,1
-72.865625,9.093375,2021,1
-72.865375,9.093375,2021,1
-72.865125,9.093375,2021,1
-72.864875,9.093375,2021,1
-72.864625,9.093375,2021,1
-72.864375,9.093375,2021,1
-72.864125,9.093375,2021,1
-72.863875,9.093375,2021,1
-72.853375,9.093375,2021,1
-72.853125,9.093375,2021,1
-72.852875,9.093375,2021,1
-72.844625,9.093375,2021,1
-72.844375,9.093375,2021,1
-72.844125,9.093375,2021,1
-72.826125,9.093375,2021,1
-72.825875,9.093375,2021,1
-72.825625,9.093375,2021,1
-72.825375,9.093375,2021,1
-72.825125,9.093375,2021,1
-72.824875,9.093375,2021,1
-72.866375,9.093125,2021,1
-72.866125,9.093125,2021,1
-72.865875,9.093125,2021,1
-72.865625,9.093125,2021,1
-72.865375,9.093125,2021,1
-72.865125,9.093125,2021,1
-72.864875,9.093125,2021,1
-72.864625,9.093125,2021,1
-72.864375,9.093125,2021,1
-72.864125,9.093125,2021,1
-72.863875,9.093125,2021,1
-72.853375,9.093125,2021,1
-72.853125,9.093125,2021,1
-72.852875,9.093125,2021,1
-72.852625,9.093125,2021,1
-72.844625,9.093125,2021,1
-72.844375,9.093125,2021,1
-72.844125,9.093125,2021,1
-72.826125,9.093125,2021,1
-72.825875,9.093125,2021,1
-72.825625,9.093125,2021,1
-72.825375,9.093125,2021,1
-72.825125,9.093125,2021,1
-72.824875,9.093125,2021,1
-72.865875,9.092875,2021,1
-72.865625,9.092875,2021,1
-72.865375,9.092875,2021,1
-72.865125,9.092875,2021,1
-72.864875,9.092875,2021,1
-72.864625,9.092875,2021,1
-72.864375,9.092875,2021,1
-72.864125,9.092875,2021,1
-72.863875,9.092875,2021,1
-72.853125,9.092875,2021,1
-72.852375,9.092875,2021,1
-72.844625,9.092875,2021,1
-72.844375,9.092875,2021,1
-72.844125,9.092875,2021,1
-72.825875,9.092875,2021,1
-72.825625,9.092875,2021,1
-72.825375,9.092875,2021,1
-72.825125,9.092875,2021,1
-72.865875,9.092625,2021,1
-72.865625,9.092625,2021,1
-72.865375,9.092625,2021,1
-72.865125,9.092625,2021,1
-72.864875,9.092625,2021,1
-72.864625,9.092625,2021,1
-72.864375,9.092625,2021,1
-72.864125,9.092625,2021,1
-72.863875,9.092625,2021,1
-72.843375,9.092625,2021,1
-72.825625,9.092625,2021,1
-72.865625,9.092375,2021,1
-72.865375,9.092375,2021,1
-72.865125,9.092375,2021,1
-72.864875,9.092375,2021,1
-72.864625,9.092375,2021,1
-72.864375,9.092375,2021,1
-72.864125,9.092375,2021,1
-72.843125,9.092375,2021,1
-72.840375,9.092375,2021,1
-72.867625,9.092125,2021,1
-72.867375,9.092125,2021,1
-72.867125,9.092125,2021,1
-72.865375,9.092125,2021,1
-72.865125,9.092125,2021,1
-72.864875,9.092125,2021,1
-72.864625,9.092125,2021,1
-72.864375,9.092125,2021,1
-72.843375,9.092125,2021,1
-72.843125,9.092125,2021,1
-72.880375,9.091875,2021,1
-72.867625,9.091875,2021,1
-72.867375,9.091875,2021,1
-72.867125,9.091875,2021,1
-72.866875,9.091875,2021,1
-72.865375,9.091875,2021,1
-72.865125,9.091875,2021,1
-72.864875,9.091875,2021,1
-72.864625,9.091875,2021,1
-72.864375,9.091875,2021,1
-72.852875,9.091875,2021,1
