"codigodpto","dpto","codigompio","mpio","dimension","value","year","fuente","unidad"
"50","Meta","50606","Restrepo","Medición de desempeño municipal",68.09,"2018","DNP - SPT","Puntos"
"50","Meta","50680","San Carlos de Guaroa","Medición de desempeño municipal",68.33,"2018","DNP - SPT","Puntos"
"50","Meta","50683","San Juan de Arama","Medición de desempeño municipal",61.23,"2018","DNP - SPT","Puntos"
"50","Meta","50686","San Juanito","Medición de desempeño municipal",55.93,"2018","DNP - SPT","Puntos"
"50","Meta","50711","Vistahermosa","Medición de desempeño municipal",50.22,"2018","DNP - SPT","Puntos"
"50","Meta","50689","San Martín","Medición de desempeño municipal",54.1,"2018","DNP - SPT","Puntos"
"52","Nariño","52001","Pasto","Medición de desempeño municipal",57.51,"2018","DNP - SPT","Puntos"
"52","Nariño","52019","Albán","Medición de desempeño municipal",34.95,"2018","DNP - SPT","Puntos"
"52","Nariño","52022","Aldana","Medición de desempeño municipal",47.86,"2018","DNP - SPT","Puntos"
"52","Nariño","52036","Ancuyá","Medición de desempeño municipal",31.1,"2018","DNP - SPT","Puntos"
"52","Nariño","52051","Arboleda","Medición de desempeño municipal",44.89,"2018","DNP - SPT","Puntos"
"52","Nariño","52079","Barbacoas","Medición de desempeño municipal",39.27,"2018","DNP - SPT","Puntos"
"52","Nariño","52083","Belén","Medición de desempeño municipal",48.07,"2018","DNP - SPT","Puntos"
"52","Nariño","52110","Buesaco","Medición de desempeño municipal",52.89,"2018","DNP - SPT","Puntos"
"52","Nariño","52203","Colón","Medición de desempeño municipal",45.94,"2018","DNP - SPT","Puntos"
"52","Nariño","52207","Consacá","Medición de desempeño municipal",48.57,"2018","DNP - SPT","Puntos"
"52","Nariño","52210","Contadero","Medición de desempeño municipal",47.13,"2018","DNP - SPT","Puntos"
"52","Nariño","52215","Córdoba","Medición de desempeño municipal",34.95,"2018","DNP - SPT","Puntos"
"52","Nariño","52224","Cuaspud","Medición de desempeño municipal",47.17,"2018","DNP - SPT","Puntos"
"52","Nariño","52227","Cumbal","Medición de desempeño municipal",41.72,"2018","DNP - SPT","Puntos"
"52","Nariño","52233","Cumbitara","Medición de desempeño municipal",46.64,"2018","DNP - SPT","Puntos"
"52","Nariño","52240","Chachagüí","Medición de desempeño municipal",52.91,"2018","DNP - SPT","Puntos"
"52","Nariño","52250","El Charco","Medición de desempeño municipal",29.72,"2018","DNP - SPT","Puntos"
"52","Nariño","52254","El Peñol","Medición de desempeño municipal",48.87,"2018","DNP - SPT","Puntos"
"52","Nariño","52256","El Rosario","Medición de desempeño municipal",38.95,"2018","DNP - SPT","Puntos"
"52","Nariño","52258","El Tablón de Gómez","Medición de desempeño municipal",44.5,"2018","DNP - SPT","Puntos"
"52","Nariño","52260","El Tambo","Medición de desempeño municipal",47.31,"2018","DNP - SPT","Puntos"
"52","Nariño","52287","Funes","Medición de desempeño municipal",48.01,"2018","DNP - SPT","Puntos"
"52","Nariño","52317","Guachucal","Medición de desempeño municipal",47,"2018","DNP - SPT","Puntos"
"52","Nariño","52320","Guaitarilla","Medición de desempeño municipal",43.1,"2018","DNP - SPT","Puntos"
"52","Nariño","52323","Gualmatán","Medición de desempeño municipal",53.94,"2018","DNP - SPT","Puntos"
"52","Nariño","52352","Iles","Medición de desempeño municipal",47.48,"2018","DNP - SPT","Puntos"
"52","Nariño","52354","Imués","Medición de desempeño municipal",52.66,"2018","DNP - SPT","Puntos"
"52","Nariño","52356","Ipiales","Medición de desempeño municipal",40.79,"2018","DNP - SPT","Puntos"
