"iso3","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"BGD",2005,3231.25,2279.53,6.22182,14.3928,7.78598,1.48475,6.53594,810000000,0.631
"BGD",2006,2050,2399.08,5.92829,16.3535,7.77513,1.34712,6.67191,460000000,0.845
"BGD",2007,3525,2537.11,6.51995,16.9953,9.17365,1.22663,7.0586,650000000,0.337
"BGD",2008,1831.25,2659.05,4.81908,17.6589,10.7741,1.14565,6.01379,1300000000,0.129
"BGD",2009,2968.75,2762.18,3.69489,16.9401,11.4568,1.11681,5.04513,900000000,0.915
"BGD",2010,3043.75,2883.47,4.02975,16.0241,13.6915,1.12481,5.57179,1200000000,0.849
"BGD",2011,3575,3034.95,3.85996,19.9221,13.408,1.14383,6.46438,1300000000,0.176
"BGD",2012,3212.5,3195.78,2.64399,20.1616,3.39597,1.15401,6.52146,1600000000,0.343
"BGD",2013,6112.5,3349.02,3.9502,19.5379,7.92642,1.15595,6.01361,2600000000,0.267
"BGD",2014,7493.75,3511.65,NA,18.9897,7.94607,1.14293,6.06106,2500000000,0.482
"BGD",2015,12650,3700.11,2.70599,17.3367,6.05911,1.11909,6.55264,2800000000,0.699
"BGD",2016,5712.5,3920.14,NA,16.6497,4.49591,1.09529,7.11348,2300000000,1.273
"BGD",2017,5081.25,4160.7,NA,15.0361,7.16987,1.07554,7.28417,1800000000,1.085
"BGD",2018,4256.25,4440.86,NA,14.801,6.23053,1.05357,7.86375,2400000000,0.866
"BLZ",2004,493.75,7413.88,87.9604,50.8712,2.33178,2.59675,4.78994,110000000,0.582
"BLZ",2005,1050,7363.85,87.2984,55.2373,4.30074,2.5994,1.9409,130000000,0.724
"BLZ",2006,537.5,7519.41,73.7968,61.4792,3.41196,2.62214,4.82548,110000000,0.526
"BLZ",2007,1425,7363.4,65.6392,62.0033,5.72329,2.60631,0.511014,140000000,0.727
"BLZ",2008,2181.25,7426.87,57.2894,63.1691,13.7818,2.57205,3.48981,170000000,0.453
"BLZ",2009,2531.25,7257.73,69.8819,52.394,1.56112,2.5209,0.217461,110000000,0.793
"BLZ",2010,2200,7294.66,60.861,59.0551,-3.99128,2.45178,3.00353,96000000,0.711
"BLZ",2011,27618.8,7259.65,53.4928,62.6191,0.32065,2.38129,1.91825,95000000,0.588
