"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PLW",2001,7.32442884702067084,5948.675704001576067
"PNG",2001,10238.09836848999732270,8511641.291000547370276
"PRI",2001,29.02792696137044566,17091.859606714346304
"PRY",2001,13533.82066291599751882,5105270.528919750120622
"RWA",2001,10.68536000877258385,6806.541881853086587
"SLB",2001,745.63212844315791957,604885.691610314248236
"SLE",2001,266.80736959211371673,131349.924509090079247
"SLV",2001,11.15520183661349670,6388.950823318690336
"SSD",2001,10.96986719427476795,6534.11803815110379
"SUR",2001,1144.89727470248843946,936065.685359709287475
"SXM",2001,0.07323942758246528,33.913109261653105
"TCA",2001,0.5720265906803386,96.38151923111384
"TGO",2001,2.44437867068060943,760.72285817246378
"THA",2001,2035.38622469285272870,1248613.987971144779119
"TTO",2001,83.47129334891382374,39291.329562976368396
"TWN",2001,62.83498421080403326,36444.49499782455565
"TZA",2001,1579.14805585026702532,942557.303000324775890
"UGA",2001,3741.81969841821144401,1911034.258742351252871
"USA",2001,33.53702004034620198,14757.495151538304842
"VCT",2001,0.07495259433865017,40.9987671701834
"VEN",2001,10437.98148901120675577,6115711.033715844176813
"VGB",2001,0.876992507046441,363.319380411029
"VIR",2001,0.43871009726454,208.42090587136945
"VNM",2001,12002.35246405738738087,7063455.574609606125581
"VUT",2001,17.42882615772244067,10705.10012623132856
"ZAF",2001,54.06534504158854000,25811.563670225942283
"ZMB",2001,91.93893608351069516,43524.03940523904465
"ZWE",2001,8.99398214801649313,4559.290486407772116
"AGO",2002,3499.63627299536744682,2049813.745436108290650
"ARG",2002,9316.61364011999821646,3415216.139333462326586
"AUS",2002,0.60741974119194880,238.37027503377348
"BDI",2002,3.91871376533284543,2281.72692043472941
"BEN",2002,0.22913985083577476,64.37880479293705
"BGD",2002,619.40670645362549332,358676.491964179116605
"BHS",2002,0.21357198816189237,35.342645665658507
"BLZ",2002,5573.86964100059914680,2795573.982068451170467
"BOL",2002,70601.35638328195529204,37179311.518779423009443
"BRA",2002,1621765.13492838252894247,967422098.930555515415678
"BRN",2002,474.50766387612587685,385440.482475570911787
