"","iso3","continent","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"90","BEN","africa",2017,512.5,3044.52,29.8023,27.2056,1.75529,2.7499,5.67156,2e+08,1.372
"91","BFA","africa",2004,300,1447.5,18.4079,10.8816,-4.69687,2.92759,4.47845,1.4e+07,0.935
"92","BFA","africa",2005,4525,1527.02,16.3675,9.84185,15.3981,2.95917,8.66187,5.2e+07,1.512
"93","BFA","africa",2006,2543.75,1574.73,NA,10.9569,0.130953,2.989,6.25316,8.4e+07,1.231
"94","BFA","africa",2007,10175,1590.83,23.5612,10.3485,-1.29969,3.01189,4.11138,2.2e+07,0.949
"95","BFA","africa",2008,2750,1632.95,24.6398,10.1493,23.2341,3.0249,5.79999,3.3e+07,0.382
"96","BFA","africa",2009,493.75,1631.19,13.9915,13.789,3.97655,3.02645,2.96195,5.7e+07,1.021
"97","BFA","africa",2010,1250,1716.36,10.4707,20.5158,1.48629,3.01921,8.44628,3.9e+07,1.347
"98","BFA","africa",2011,2862.5,1775.78,8.68811,26.1955,6.12706,3.00905,6.62256,1.4e+08,1.088
"99","BFA","africa",2012,3256.25,1834.54,8.14123,26.5981,5.37406,2.9974,6.45267,3.3e+08,0.573
"100","BFA","africa",2013,1275,1883.8,12.5338,27.077,-0.218618,2.98166,5.79258,4.9e+08,0.93
"101","BFA","africa",2014,4737.5,1907.95,11.784,26.932,-3.23013,2.96188,4.32685,3.6e+08,0.981
"102","BFA","africa",2015,4018.75,1925.33,16.8409,26.1076,2.46314,2.93935,3.92123,2.3e+08,1.231
"103","BFA","africa",2016,4387.5,1981.43,12.8766,25.916,1.00695,2.91521,5.95798,3.9e+08,1.184
"104","BFA","africa",2017,356.25,2044.39,13.2152,26.4524,2.03886,2.89075,6.20349,2600000,1.34
"105","BFA","africa",2018,112.5,2117.81,14.5433,28.0789,3.43427,2.86698,6.60457,2.7e+08,1.27
"106","BGD","asia",2004,1606.25,2171.69,6.1843,11.1465,7.04627,1.6152,5.23953,4.5e+08,0.291
"107","BGD","asia",2005,3231.25,2279.53,6.22182,14.3928,7.78598,1.48475,6.53594,8.1e+08,0.631
"108","BGD","asia",2006,2050,2399.08,5.92829,16.3535,7.77513,1.34712,6.67191,4.6e+08,0.845
"109","BGD","asia",2007,3525,2537.11,6.51995,16.9953,9.17365,1.22663,7.0586,6.5e+08,0.337
"110","BGD","asia",2008,1831.25,2659.05,4.81908,17.6589,10.7741,1.14565,6.01379,1.3e+09,0.129
"111","BGD","asia",2009,2968.75,2762.18,3.69489,16.9401,11.4568,1.11681,5.04513,9e+08,0.915
"112","BGD","asia",2010,3043.75,2883.47,4.02975,16.0241,13.6915,1.12481,5.57179,1.2e+09,0.849
"113","BGD","asia",2011,3575,3034.95,3.85996,19.9221,13.408,1.14383,6.46438,1.3e+09,0.176
"114","BGD","asia",2012,3212.5,3195.78,2.64399,20.1616,3.39597,1.15401,6.52146,1.6e+09,0.343
"115","BGD","asia",2013,6112.5,3349.02,3.9502,19.5379,7.92642,1.15595,6.01361,2.6e+09,0.267
"116","BGD","asia",2014,7493.75,3511.65,NA,18.9897,7.94607,1.14293,6.06106,2.5e+09,0.482
"117","BGD","asia",2015,12650,3700.11,2.70599,17.3367,6.05911,1.11909,6.55264,2.8e+09,0.699
"118","BGD","asia",2016,5712.5,3920.14,NA,16.6497,4.49591,1.09529,7.11348,2.3e+09,1.273
"119","BGD","asia",2017,5081.25,4160.7,NA,15.0361,7.16987,1.07554,7.28417,1.8e+09,1.085
"120","BGD","asia",2018,4256.25,4440.86,NA,14.801,6.23053,1.05357,7.86375,2.4e+09,0.866
"121","BLZ","latin",2004,493.75,7413.88,87.9604,50.8712,2.33178,2.59675,4.78994,1.1e+08,0.582
"122","BLZ","latin",2005,1050,7363.85,87.2984,55.2373,4.30074,2.5994,1.9409,1.3e+08,0.724
"123","BLZ","latin",2006,537.5,7519.41,73.7968,61.4792,3.41196,2.62214,4.82548,1.1e+08,0.526
"124","BLZ","latin",2007,1425,7363.4,65.6392,62.0033,5.72329,2.60631,0.511014,1.4e+08,0.727
"125","BLZ","latin",2008,2181.25,7426.87,57.2894,63.1691,13.7818,2.57205,3.48981,1.7e+08,0.453
"126","BLZ","latin",2009,2531.25,7257.73,69.8819,52.394,1.56112,2.5209,0.217461,1.1e+08,0.793
"127","BLZ","latin",2010,2200,7294.66,60.861,59.0551,-3.99128,2.45178,3.00353,9.6e+07,0.711
"128","BLZ","latin",2011,27618.8,7259.65,53.4928,62.6191,0.32065,2.38129,1.91825,9.5e+07,0.588
"129","BLZ","latin",2012,5281.25,7264.64,68.6168,64.4529,2.56661,2.32413,2.42176,1.9e+08,0.508
"130","BLZ","latin",2013,7081.25,7194.62,76.9446,65.3601,1.46213,2.25427,1.29408,9.2e+07,0.648
"131","BLZ","latin",2014,5825,7322.88,63.9638,62.1479,0.792583,2.19128,4.0377,1.4e+08,0.616
"132","BLZ","latin",2015,5775,7358.62,70.4344,58.8872,-0.380186,2.11686,2.63786,5.9e+07,1.385
"133","BLZ","latin",2016,1900,7206.95,71.2143,52.1849,0.076421,2.04936,-0.033234,3.3e+07,1.25
"134","BLZ","latin",2017,6406.25,7193.63,87.4463,54.3276,-1.12726,1.9824,1.81368,3.2e+07,1.144
"135","BLZ","latin",2018,1943.75,7261.69,87.0867,56.3561,-0.514951,1.92298,2.90607,1.2e+08,0.612
"136","BOL","latin",2010,910806,6612.8,15.0582,41.1875,2.97081,1.64358,4.12672,6.2e+08,0.51
"137","BOL","latin",2012,55737.5,7081.39,13.222,47.1662,3.91673,1.60004,5.12228,1.1e+09,0.674
"138","BOL","latin",2018,85856.3,8655.53,15.437,25.9888,2.57911,1.42189,4.22362,3e+08,0.285
"139","BOL","latin",2011,504325,6844.98,12.5266,44.0917,14.0892,1.62236,5.20409,8.6e+08,0.942
"140","BOL","latin",2005,110244,5749.53,20.2268,35.5481,4.70042,1.78415,4.42143,-2.4e+08,0.553
"141","BOL","latin",2004,91743.8,5605.2,26.949,31.1384,4.8535,1.81619,4.17329,6.5e+07,0.61
"142","BOL","latin",2008,157219,6351.23,13.9162,44.9066,25.7718,1.69112,6.1485,5.1e+08,0.155
"143","BOL","latin",2009,57912.5,6455.97,19.1893,35.7226,1.61476,1.66617,3.357,4.2e+08,0.493
"144","BOL","latin",2017,197106,8423.7,14.6472,24.9041,3.37058,1.44914,4.19521,7.1e+08,0.716
"145","BOL","latin",2013,48700,7444.49,16.2486,44.0925,8.80973,1.57458,6.79601,1.7e+09,0.419
"146","BOL","latin",2007,108050,6085.39,14.9184,41.7957,14.4831,1.71989,4.56438,3.7e+08,0.313
"147","BOL","latin",2016,393431,8202.54,20.3464,24.488,5.52726,1.4802,4.26392,3.4e+08,0.514
"148","BOL","latin",2014,132694,7730.64,14.2247,43.2931,8.25004,1.54498,5.46057,6.6e+08,0.811
"149","BOL","latin",2015,50087.5,7984.41,16.2779,30.8683,4.6574,1.51294,4.85719,5.5e+08,1.286
"150","BOL","latin",2006,100063,5920.71,14.2199,41.7717,5.85287,1.75171,4.79701,2.8e+08,0.704
"151","BRA","latin",2005,2200000,12565.9,25.6749,15.2438,3.09253,1.14588,3.20213,1.5e+10,1.091
"152","BRA","latin",2007,1900000,13565,26.32,13.3277,6.77824,1.03786,6.06987,4.5e+10,0.971
"153","BRA","latin",2004,2e+06,12316.4,27.8817,16.5458,4.0176,1.20129,5.75996,1.8e+10,0.766
"154","BRA","latin",2010,2e+06,14873.2,30.3358,10.8656,6.08787,0.937959,7.52823,8.2e+10,1.099
"155","BRA","latin",2015,2200000,15064.2,37.9779,12.9002,9.77808,0.838839,-3.54576,6.5e+10,1.587
"156","BRA","latin",2014,1200000,15749.5,35.6523,11.0119,7.51264,0.855796,0.503956,8.8e+10,1.157
"157","BRA","latin",2008,2700000,14115,27.7025,13.534,13.0488,0.994311,5.0942,5.1e+10,0.72
"158","BRA","latin",2012,2500000,15478.8,32.3415,11.8775,8.10944,0.893525,1.92118,9.3e+10,1.006
"159","BRA","latin",2011,2e+06,15323.3,30.4909,11.5825,8.86826,0.915965,3.97442,1e+11,0.782
"160","BRA","latin",2018,944956,14668.3,34.6388,14.635,0.894729,0.783844,1.78367,7.8e+10,1.168
"161","BRA","latin",2006,2300000,12922.2,24.92,14.3743,0.025114,1.09019,3.96199,1.9e+10,0.778
"162","BRA","latin",2016,2700000,14451.2,37.8782,12.4667,12.5152,0.823752,-3.27592,7.4e+10,1.477
"163","BRA","latin",2009,897906,13962.3,34.1353,10.8514,5.88749,0.961947,-0.125812,3.1e+10,0.942
"164","BRA","latin",2017,3100000,14524.6,36.1004,12.519,0.949267,0.807145,1.32287,6.9e+10,1.375
"165","BRA","latin",2013,990219,15805.2,35.297,11.7422,11.2062,0.873606,3.00482,7.5e+10,0.921
"166","BRN","asia",2004,625,70616.6,0.040069,68.799,0.503782,1.72272,0.504318,1.1e+08,0.512
"167","BRN","asia",2005,612.5,69787.8,NA,70.1684,1.00497,1.56736,0.387507,1.8e+08,0.867
"168","BRN","asia",2006,687.5,71843.5,0.089094,71.7247,0.387599,1.40067,4.39772,8.8e+07,0.535
"169","BRN","asia",2007,1106.25,71051.7,0.064234,67.8528,1.30955,1.26272,0.154582,2.6e+08,0.547
"170","BRN","asia",2008,993.75,68856.2,0.035135,78.2992,3.71609,1.18005,-1.93971,2.2e+08,0.283
"171","BRN","asia",2009,1731.25,66851.1,0.023647,72.7832,2.8541,1.17488,-1.76454,3.3e+08,0.684
"172","BRN","asia",2010,1450,67753.4,0.037291,67.4075,0.074249,1.22507,2.59897,4.8e+08,0.755
"173","BRN","asia",2011,1687.5,69388.8,0.0376,69.5061,0.009299,1.29182,3.74532,6.9e+08,0.433
"174","BRN","asia",2012,831.25,69090.3,0.046359,70.1613,-0.0015,1.33977,0.912842,8.6e+08,0.681
"175","BRN","asia",2013,706.25,66715.7,0.160572,68.0419,0.105744,1.34852,-2.12603,7.8e+08,0.874
"176","BRN","asia",2014,2706.25,64190.8,0.389846,68.1771,-0.224583,1.31764,-2.50835,5.7e+08,0.815
"177","BRN","asia",2015,1356.25,63147.5,0.111828,52.2106,0.906128,1.24557,-0.392384,1.7e+08,1.102
"178","BRN","asia",2016,1950,60867.3,0.167621,49.5769,-0.509942,1.16857,-2.47792,-1.5e+08,1.581
"179","BRN","asia",2017,1068.75,60994.5,0.192165,49.5732,0.280608,1.11103,1.3286,4.7e+08,1.128
"180","BRN","asia",2018,325,60389.2,0.087582,51.9323,1.9141,1.04964,0.052238,5.2e+08,1.07
"181","BWA","africa",2004,93.75,11305.6,2.49355,49.6138,7.68794,1.77986,2.70582,3.9e+08,0.252
"182","BWA","africa",2005,300,11600.3,2.5792,52.9236,5.07677,1.88211,4.55665,4.2e+08,1.404
